State,Region,Uses (Permitted and Conditional),Required Spaces
IL,Waukegan,Orthopedic and medical appliance manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Paint products manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Paper products manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,"Petroleum products, refining, storage, and processing","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Plastics manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Pottery and ceramics manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Printing and publishing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Product service and distribution,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Restricted production and repair,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,"Rope, cord, and twine manufacturing","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Rubber manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,"Scrap metal, processing and distribution","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Sewage treatment plant,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Sheet metal work,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Shop manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Sporting goods manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Station and filtration plant,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Steel manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Stone products manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,"Warehousing, storage and distribution","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Warehousing and wholesaling establishments,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Wearing apparel manufacturing,"Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,"Woodworking, planing mills and wood products manufacturing","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,"Any similar production processing, cleaning, servicing, testing, storage and repair","Manufacturing & Industrial: 2.5/1,000 sq. ft. of gross floor area  Warehousing: 1.0/1,000 sq. ft. of gross floor area and 3.0/1,000 sq. ft. of gross  floor area of office space within any warehouse"
IL,Waukegan,Amusement parks and establishments,Spaces equal in number to ⅓ of the design capacity of the facility
IL,Waukegan,Billiard and pool halls,Spaces equal in number to ⅓ of the design capacity of the facility
IL,Waukegan,"Indoor amusements, including indoor archery, rifle range, shooting gallery",Spaces equal in number to ⅓ of the design capacity of the facility
IL,Waukegan,Kiddie parks,Spaces equal in number to ⅓ of the design capacity of the facility
IL,Waukegan,Miniature golf,Spaces equal in number to ⅓ of the design capacity of the facility
IL,Waukegan,Air conditioning and heating contractor,"3.0/1,000 sq. ft. of gross floor area"
IL,Waukegan,"Building materials and products, sales and storage","3.0/1,000 sq. ft. of gross floor area"
IL,Waukegan,Electrical showrooms,"3.0/1,000 sq. ft. of gross floor area"
IL,Waukegan,Plumbing showroom,"3.0/1,000 sq. ft. of gross floor area"
IL,Waukegan,Drive-in banking facility,Reservoir space sufficientto accommodate an amount equal to five times the number  of teller windows or bays
IL,Waukegan,Car wash facility: Self-service,Reservoir space sufficientto accommodate an amount equal to five times the number  of teller windows or bays
IL,Waukegan,Airports and landing fields,Spaces as required by the Development Review Board
IL,Waukegan,Bus terminals,Spaces as required by the Development Review Board
IL,Waukegan,Botanical gardens,Spaces as required by the Development Review Board
IL,Waukegan,"Cemeteries, columbariums, crematoriums, and mausoleums",Spaces as required by the Development Review Board
IL,Waukegan,Commercial camping grounds,Spaces as required by the Development Review Board
IL,Waukegan,"Heliports, commercial and private",Spaces as required by the Development Review Board
IL,Waukegan,Hospitals,Spaces as required by the Development Review Board
IL,Waukegan,Junkyard and auto graveyard,Spaces as required by the Development Review Board
IL,Waukegan,Marinas,Spaces as required by the Development Review Board
IL,Waukegan,Microwave relay towers,Spaces as required by the Development Review Board
IL,Waukegan,"Nature centers, zoos, or zoological gardens",Spaces as required by the Development Review Board
IL,Waukegan,"Outdoor rifle range, trap shooting range",Spaces as required by the Development Review Board
IL,Waukegan,Public parks and playgrounds,Spaces as required by the Development Review Board
IL,Waukegan,Public stables,Spaces as required by the Development Review Board
IL,Waukegan,Radar installation and towers,Spaces as required by the Development Review Board
IL,Waukegan,Riding academy,Spaces as required by the Development Review Board
IL,Waukegan,Railroad passenger terminals,Spaces as required by the Development Review Board
IL,Waukegan,Sanitary landfills,Spaces as required by the Development Review Board
IL,Waukegan,Transportation centers,Spaces as required by the Development Review Board
