State,Region,Uses (Permitted and Conditional),Required Spaces
IL,Waukegan,"Clinic for: doctor, dentist, osteopath, podiatrist, chiropractor, optometrist, or  similar profession","5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Clothes pressing,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Currency exchange,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Dairy products store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Delicatessen,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Department store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Drugstore,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Dry cleaning and laundry receiving station,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Dry goods store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Electrical and household appliance store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Employment agency,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Feed and seed store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Fish market,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Florist,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,"Food, grocery, meat stores","5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Fraternity house,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Funeral parlor,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Furniture store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Furrier,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Gift store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Grocery or food store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Haberdasheries,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Hand laundry,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Hardware store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Hearing aid store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Hobby shop,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Home furnishings,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Household appliance store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Ice cream store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Jewelry store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,"Laundry, self-service, launderettes","5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Leather goods and luggage store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,"Liquor stores, package","5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Marine-oriented retail,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Meat market,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Medical and dental office,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Millinery shop,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Musical instruments,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Newspaper distribution,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Optician's sales,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Orthopedic and medical appliance,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,"Paint, glass, and wallpaper store","5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Pawn shop,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Pet shop,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,"Phonograph, record and music store","5/1,000 sq. ft. of gross floor area"
